"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"beta",1970-02-15,0,0,0.552865953935483,0.0108877553715995,0.531526345534666,0.574205562336301,2022-01-28,0.6378
"report_prob",1970-02-15,0,0,0.6378,0,0.5,0.5,2022-01-28,0.6378
"inc",1970-02-15,0,0,0.113588634671802,0.00249461181813952,0.108699285352841,0.118477983990764,2022-01-28,0.6378
"serop",1970-02-15,0,0,0.0509888045896639,0.00082716639483758,0.0493675882465604,0.0526100209327674,2022-01-28,0.6378
"beta",1970-02-16,0,0,0.555544588393339,0.010139911136866,0.535670727758646,0.575418449028033,2022-01-29,0.6378
"report_prob",1970-02-16,0,0,0.6378,0,0.5,0.5,2022-01-29,0.6378
"inc",1970-02-16,0,0,0.115928523166963,0.00242976655961861,0.111166268219271,0.120690778114655,2022-01-29,0.6378
"serop",1970-02-16,0,0,0.0518137225773404,0.00084135493823762,0.0501646972001798,0.0534627479545011,2022-01-29,0.6378
"beta",1970-02-17,0,0,0.560717833291154,0.0095978228599285,0.541906446155699,0.579529220426609,2022-01-30,0.6378
"report_prob",1970-02-17,0,0,0.6378,0,0.5,0.5,2022-01-30,0.6378
"inc",1970-02-17,0,0,0.118773847698967,0.00235817794772463,0.11415190385229,0.123395791545644,2022-01-30,0.6378
"serop",1970-02-17,0,0,0.0526905863013945,0.00085225052325538,0.0510202059700086,0.0543609666327805,2022-01-30,0.6378
"beta",1970-02-18,0,0,0.568087689794913,0.00934046271409287,0.549780719276352,0.586394660313475,2022-01-31,0.6378
"report_prob",1970-02-18,0,0,0.6378,0,0.5,0.5,2022-01-31,0.6378
"inc",1970-02-18,0,0,0.122135558651255,0.00229102840872467,0.117645225482596,0.126625891819913,2022-01-31,0.6378
"serop",1970-02-18,0,0,0.0536387322504948,0.00085883172647028,0.0519554529978327,0.0553220115031569,2022-01-31,0.6378
"beta",1970-02-19,0,0,0.577304980255151,0.0094144829801018,0.558852932681087,0.595757027829216,2022-02-01,0.6378
"report_prob",1970-02-19,0,0,0.6378,0,0.5,0.5,2022-02-01,0.6378
"inc",1970-02-19,0,0,0.126012268916066,0.00224204467873491,0.121617942094016,0.130406595738116,2022-02-01,0.6378
"serop",1970-02-19,0,0,0.054675705257403,0.00086063918862155,0.052988883444021,0.056362527070785,2022-02-01,0.6378
"beta",1970-02-20,0,0,0.587966449590271,0.00980779553916402,0.568743523565777,0.607189375614765,2022-02-02,0.6378
"report_prob",1970-02-20,0,0,0.6378,0,0.5,0.5,2022-02-02,0.6378
"inc",1970-02-20,0,0,0.130388979694573,0.00222606890579246,0.126025964812115,0.13475199457703,2022-02-02,0.6378
"serop",1970-02-20,0,0,0.0558167832443358,0.00085784195326247,0.0541354439115139,0.0574981225771577,2022-02-02,0.6378
"beta",1970-02-21,0,0,0.599614795821593,0.0104478058366009,0.579137472664387,0.620092118978798,2022-02-03,0.6378
"report_prob",1970-02-21,0,0,0.6378,0,0.5,0.5,2022-02-03,0.6378
"inc",1970-02-21,0,0,0.13523553756166,0.00225593853106341,0.13081397928944,0.139657095833881,2022-02-03,0.6378
